LOT,LOW,HIGH,DESCRIPT,TYPESET,FOOTNOTE,CROSSHEAD,REFNO
1,7000,10000,JACKSON POLLOCK Untitled.,"JACKSON POLLOCK
Untitled.

Screenprint on Strathmore paper, 1951 (printed 1964). 580x395 mm; 23x15 inches, full margins. Numbered 43/50 in pencil, lower right. Published by Lee Krasner Pollock, Estate of Jackson Pollock, with the Pollock Estate blind stamp, lower left. A superb impression of this very scarce print.Betty Parsons (1900-1982), whose gallery on East 57th Street in New York exhibited many of Pollock's (1912-1956) works, organized his fifth solo show in 1951, Black Paintings. To coincide with the exhibit Pollock made screenprints of 6 of the paintings.This series of screenprints, following an intended edition of 25 signed and numbered by Pollock (the edition of 25 was likely never reached), was ultimately printed and published posthumously in an edition of 50 by the artist's estate. O'Connor/Thaw 1093.",,,776736
2,2500,3500,ADOLPH GOTTLIEB Untitled.,"ADOLPH GOTTLIEB
Untitled.

Color aquatint and etching on white wove paper, 1972. 593x450 mm; 23x17 inches, full margins. Signed, dated and numbered 110/125 in pencil, lower margin. Published by Brooke Alexander Editions, New York. From Prints for Phoenix House. A superb, richly-inked impression. Associated American Artists 78.",,,775988
3,4000,6000,ADOLPH GOTTLIEB Untitled.,"ADOLPH GOTTLIEB
Untitled.

Color lithograph on Arches, 1969. 623x476 mm; 24½x18¾ inches, full margins. Signed, dated and numbered 183/250 in pencil, lower margin. Printed by Mourlot, Paris. Published by The International Rescue Committee, New York. From Flight.  A very good impression with strong colors.",,,775188
4,3000,5000,ADOLPH GOTTLIEB Lemon Yellow Ground.,"ADOLPH GOTTLIEB
Lemon Yellow Ground.

Color lithograph, 1966. 505x715 mm; 19x28 inches, full margins. Signed, dated and numbered 19/50 in pencil, lower margin. Published by Marlborough Graphics, Inc., New York. A very good impression.Gottlieb (1903-1974) had achieved international recognition by the 1960s, when he embarked on printmaking projects in lithography, intaglio and screenprint to represent his Imaginary Landscape and Burst paintings series from the decade earlier which had brought him acclaim. The Imaginary Landscape paintings, represented in this lithograph, are typically horizontally oriented with strong gestural strokes representing rocky landscapes or turbulent seas; the Burst series, vertically oriented, feature an orb shape hovering above a gestural form (see lot 2        and lot 3     ). Associated American Artists 38.",,,776000
5,6000,9000,WILLEM DE KOONING Paris Review.,"WILLEM DE KOONING
Paris Review.

Color offset lithograph, 1979. 587x743 mm; 23x29¼ inches, full margins. Signed and numbered 137/200 in pencil, lower margin. Published by The Paris Review, New York.Funded by a 1964 gift from Drue Heinz to provide financial support to the literary magazine, The Paris Review, whose print/poster series encouraged contemporary artists such as Helen Frankenthaler (1928-2011, see lots 54-57    , lot 199 and lot 200        ), Robert Motherwell (1915-1991, see lots 12-27 and lot 201) and Andy Warhol (1928-1987, see lot 210, lots 229-244), among others, to produce signed, limited editions of their original works, to donate for sale by the magazine.Many of the early Paris Review posters, from the mid-to-late 1960s, were printed by Stephen Poleskie at his Chiron Press studio in lower Manhattan, impressions of which and related preparatory works are offered in the current auction (see lots 200, 201, 207, 208, 210, 216-220 and 225).",,,776501
6,8000,12000,WILLEM DE KOONING Woman at Clearwater Beach.,"WILLEM DE KOONING
Woman at Clearwater Beach.

Lithograph on J. B. Green cream wove paper, 1971. 716x1028 mm; 28¼x40½ inches (sheet), full margins. Signed, dated and numbered 34/44 in pencil, lower margin. Printed by Hollander's Workshop, Inc., New York, with the blind stamp lower left. Published by Knoedler, New York, with the blind stamp lower right. A superb, richly-inked impression of this large, scarce lithograph.This is the first lithograph that de Kooning (1904-1997, see lots 5-10) made with the master printer Irwin Hollander, who had trained at Tamarind Lithography Workshop in California and then opened a studio on East 10th Street in New York in 1964. According to Hollander, ""It was not until [de Kooning] returned from his trip to Japan that he responded to do a body of lithographs. Perhaps the seeing and feeling of calligraphy, sumi brush painting and Zen inspired him sufficiently to do prints. Whatever, the results were beautiful . . . We worked for a year together in 1970 and 1971, proofing 38 images, of which 24 were editioned."" Graham 5.",,,776503
7,6000,9000,WILLEM DE KOONING Souvenir of Montauk.,"WILLEM DE KOONING
Souvenir of Montauk.

Lithograph on Akawara paper, 1970. 860x690 mm; 34x27¼ inches, full margins. Signed, dated and numbered 8/43 in pencil, lower margin. Printed by Hollander's Workshop, Inc., New York, with the blind stamp lower right. Published by Knoedler, New York. A very good impression of this scarce lithograph. Graham 9.",,,776528
8,2500,3500,WILLEM DE KOONING Clam Digger.,"WILLEM DE KOONING
Clam Digger.

Lithograph on Arches, 1966. 410x310 mm; 16x12¼ inches, full margins. Artist's proof, aside from the edition of 100. Signed and inscribed ""A.P."" in pencil, lower margin. Printed and published by Hollander's Workshop, Inc., New York, with the blind stamp lower right. From Portfolio 9. A very good impression. Graham 4.",,,776735
9,20000,30000,WILLEM DE KOONING Two Figures.,"WILLEM DE KOONING
Two Figures.

Charcoal on cream wove paper, 1975. 277x215 mm; 11x8½ inches. Signed in charcoal, lower right recto.Gifted from de Kooning to his friend the artist Frank Roth (1936-2019), thence to the current owner; private collection, New York.With a photograph authentication by Lisa de Kooning, the artist's daughter, dated November 4, 1999.",,,775051
10,2500,3500,WILLEM DE KOONING For Lisa.,"WILLEM DE KOONING
For Lisa.

Color lithograph, 1984. 450x590 mm; 17x23¼ inches (sheet), full margins. Artist's proof, aside from the edition of 250. Signed in black crayon and inscribed ""A.P."" in pencil, lower margin. Published by Brand X Editions, Ltd., New York, with the blind stamp lower left, to benefit the Children's Museum, Los Angeles. A very good impression with strong colors.",,,776734
